Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2016,Subaru,Impreza,119109 km,Sedan,4 Cylinder Engine,CVT,AWD,null,null,5,4,Gas,8.5L/100km,6.4L/100km,16887
2017,Subaru,BRZ,43438 km,Coupe,2.0,6 Speed Manual,RWD,Crystal White Pearl,Black,4,2,Gas,11.1L/100km,8.0L/100km,29888
2018,Subaru,WRX,83891 km,Sedan,2.0,Automatic,AWD,Crystal Black Silica,Black,5,4,Gas,12.6L/100km,9.6L/100km,30998
2020,Subaru,WRX,29203 km,Sedan,4 Cylinder,6 Speed Manual,AWD,Crystal White Pearl,Black,null,4,Gas,14.3L/100km,10.8L/100km,45800
2021,Subaru,WRX,23579 km,Sedan,2.5L 4cyl,6 Speed Manual,AWD,Crystal White Pearl,Black,5,4,Premium Unleaded,14.4L/100km,10.8L/100km,45888
2017,Subaru,Impreza,78745 km,Hatchback,2.0,Automatic,AWD,Crystal White Pearl,Black,5,5,Gas,8.4L/100km,6.5L/100km,23488
2015,Subaru,WRX,101030 km,Sedan,2.5,Manual,AWD,Crystal White Pearl,Black,null,4,Gas,13.8L/100km,10.2L/100km,25798
2018,Subaru,WRX,145647 km,Sedan,4 Cylinder Engine,6 Speed Manual,AWD,Crystal Black Silica,Black,5,4,Gas,11.3L/100km,8.5L/100km,25898
2015,Subaru,Outback,197823 km,SUV,H-4 cyl,CVT,null,Carbide Grey Metallic,Black,null,null,Gas,9.3L/100km,7.1L/100km,13888
2016,Subaru,Impreza,119109 km,Sedan,4 Cylinder Engine,CVT,AWD,null,null,5,4,Gas,8.5L/100km,6.4L/100km,16887
2017,Subaru,WRX,159826 km,Sedan,4 Cylinder Engine,Manual,AWD,Crystal White Pearl,Black,null,null,Gas,11.3L/100km,8.5L/100km,17995
2017,Subaru,Legacy,101241 km,Sedan,4 Cylinder Engine,Automatic,null,Blue,Black,null,null,Regular Unleaded,9.3L/100km,7.0L/100km,18995
2016,Subaru,Forester,84338 km,SUV,4 Cylinder Engine,Automatic,AWD,Dark Grey Metallic,Grey,5,4,Gas,9.6L/100km,7.5L/100km,22590
2021,Subaru,Crosstrek,14597 km,SUV,2.0L H4,CVT,AWD,Crystal White Pearl,null,null,4,Gas,8.5L/100km,7.0L/100km,32950
2017,Subaru,Impreza,89617 km,Sedan,4 Cylinder Engine,Automatic,AWD,Lithium Red Pearl,Black,5,4,Gas,8.3L/100km,6.4L/100km,22590
2016,Subaru,Forester,88500 km,SUV,4 Cylinder Engine,Automatic,AWD,Crystal White Pearl,Black,5,4,Gas,9.6L/100km,7.5L/100km,22690
2017,Subaru,Forester,138051 km,SUV,2.5L 4 Cylinder Engine,Automatic,AWD,Dark Grey Metallic,Black,5,4,Gas,9.2L/100km,7.4L/100km,23695
2020,Subaru,Impreza,50483 km,Wagon,4 Cylinder Engine,Automatic,AWD,Blue,Black,5,4,Gas,8.4L/100km,6.6L/100km,24590
2015,Subaru,Forester,52381 km,SUV,4 Cylinder Engine,CVT,AWD,Satin White Pearl,Black,5,4,Gas,10.2L/100km,8.5L/100km,24888
2016,Subaru,WRX,130000 km,Sedan,2.0,Automatic,AWD,Blue,Black,5,4,Gas,12.5L/100km,9.5L/100km,24990
2019,Subaru,Impreza,37447 km,Hatchback,4 Cylinder Engine,CVT,AWD,Magnetite Grey Metallic,Black,5,4,Gas,8.4L/100km,6.6L/100km,26385
2019,Subaru,Outback,96396 km,SUV,4 Cylinder Engine,Automatic,AWD,Cinnamon Brown Pearl,Black,5,4,Gas,9.4L/100km,7.3L/100km,26890
