Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Lexus,RX,78151 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Caviar,Black,6,4,Gas,13.1L/100km,9.4L/100km,44888
2020,Lexus,UX,51188 km,SUV,4 Cylinder Engine,CVT,AWD,BLUE,Black,5,4,Gasoline Hybrid,5.7L/100km,6.2L/100km,37895
2020,Lexus,UX,63000 km,SUV,Gas/Electric I-4 2.0 L/121,CVT,AWD,Eminent White Pearl,Red,5,4,Gasoline Hybrid,5.7L/100km,6.2L/100km,40750
2022,Lexus,ES,7245 km,Sedan,I-4 cyl,Automatic,FWD,Caviar,Black,null,null,Regular Unleaded,5.5L/100km,5.2L/100km,55900
2022,Lexus,RX,25511 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Nebula Grey Pearl,Black,5,4,Gas,12.2L/100km,9.0L/100km,66888
2016,Lexus,NX,98765 km,SUV,2.0L 4cyl,6 Speed Automatic,AWD,Atomic Silver,Black,5,4,Premium Unleaded,10.6L/100km,8.4L/100km,31288
2020,Lexus,IS,29890 km,Sedan,Premium Unleaded V-6 3.5 L/211,Automatic,AWD,Nebula Grey Pearl,null,5,4,Gas,12.3L/100km,9.1L/100km,43950
2023,Lexus,NX,180 km,SUV,2.4L 4cyl,8 Speed Automatic,AWD,Cloudburst Grey,Black,null,2,Premium Unleaded,null,null,58235
2017,Lexus,RX,82461 km,SUV,3.5L 6-Cylinder SMPI DOHC 24V,Automatic,AWD,Atomic Silver,Black,5,4,Gas,12.2L/100km,9.0L/100km,38999
2012,Lexus,RX,118600 km,SUV,3.5,Automatic,AWD,Tungsten Pearl,Grey,5,4,Gas,11.8L/100km,8.3L/100km,20488
2015,Lexus,RX,210000 km,SUV,6 Cylinder,Automatic,AWD,Starlight Black Mica,Black,5,4,Gas,12.7L - 13.3L/100km,9.1L - 9.8L/100km,20995
2015,Lexus,RX,155000 km,SUV,6 Cylinder,Automatic,AWD,White,Black,5,4,Gas,12.7L - 13.3L/100km,9.1L - 9.8L/100km,23999
2013,Lexus,RX,147541 km,SUV,V6 Cylinder Engine,6 Speed Automatic,AWD,Silver Lining Metallic,Black,5,4,Gas,11.2L - 11.8L/100km,7.7L - 8.3L/100km,23999
2021,Lexus,RX,0 km,SUV,Regular Unleaded V-6 3.5 L/211,Automatic,AWD,Atomic Silver,Black,5,4,Gas,12.2L/100km,9.0L/100km,61588
2015,Lexus,IS,74204 km,Sedan,Premium Unleaded V-6 2.5 L/152,Automatic,AWD,Nebula Grey Pearl,Black,5,4,Gas,11.8L/100km,8.7L/100km,24998
2016,Lexus,NX,128966 km,SUV,2.0L 4cyl,6 Speed Automatic,AWD,Atomic Silver,Black,5,4,Premium Unleaded,10.6L/100km,8.4L/100km,25288
