Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,Mercedes-Benz,GLE-Class,69525 km,SUV,6 Cylinder,Automatic,AWD,Gray,Black,null,4,Gas,13.5L/100km,10.3L/100km,40800
2021,Mercedes-Benz,A-Class,25500 km,Hatchback,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,Automatic,AWD,Polar White,Black,5,4,Gas,10.6L/100km,8.2L/100km,56395
2020,Mercedes-Benz,C-Class,27500 km,Sedan,Twin Turbo Premium Unleaded V-6 3.0 L/183,Automatic,AWD,Brilliant Blue Metallic,Black,5,4,Gas,12.4L/100km,8.7L/100km,58500
2017,Mercedes-Benz,E-Class,61900 km,Sedan,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,Automatic,AWD,Iridium Silver Metallic,Black,5,4,Gas,10.8L/100km,8.1L/100km,41350
2021,Mercedes-Benz,S580,32121 km,null,WIP SERVICE,Automatic,null,Selenite Grey Metallic,null,null,null,null,null,null,144800
2017,Mercedes-Benz,C300,131000 km,Sedan,null,Automatic,AWD,Grey,null,null,5 doors,Gasoline,null,null,25000
1987,Mercedes-Benz,560SL,178356 km,Convertible,null,Automatic,RWD,Red,null,null,2 doors,Gasoline,null,null,26580
2016,Mercedes-Benz,CLS,97102 km,Sedan,V6 Cylinder Engine,7 Speed Automatic,AWD,Grey,Black,4,4,Gas,12.2L/100km,8.8L/100km,33987
2021,Mercedes-Benz,AMG,34322 km,Hatchback,Straight 6 Cylinder Engine,9 Speed Automatic,AWD,Grey,Red,5,4,Gasoline Hybrid,null,null,119999
2012,Mercedes-Benz,C-Class,161000 km,Coupe,1.8,Automatic,RWD,White,Black,5,2,Gas,9.6L/100km,6.3L/100km,9990
2012,Mercedes-Benz,M-Class,182148 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,null,null,4,Gas,12.3L/100km,8.9L/100km,14888
2012,Mercedes-Benz,E-Class,111530 km,Sedan,V6 Cylinder Engine,Automatic,RWD,Black,Black,null,null,Diesel,11.1L/100km,7.0L/100km,15995
2013,Mercedes-Benz,GLK-Class,149985 km,SUV,V6 Cylinder Engine,Automatic,AWD,White,Black,5,4,Gas,11.1L/100km,8.1L/100km,16485
2019,Mercedes-Benz,G-Class,58273 km,SUV,8 Cylinder Engine 4.0L,Automatic,AWD,Blue,Brown,null,4,Gas,18.0L/100km,14.1L/100km,169980
2015,Mercedes-Benz,GLA-Class,160000 km,SUV,2.0L,Automatic,AWD,Calcite White,Black,5,4,Gas,null,null,17899
2012,Mercedes-Benz,E-Class,83143 km,Sedan,3.5L 6cyl,7 Speed Automatic,AWD,null,null,null,2,Premium Unleaded,11.0L - 11.2L/100km,7.0L - 7.3L/100km,18990
2012,Mercedes-Benz,M-Class,141000 km,SUV,3.0,7 Speed Automatic,AWD,Black,Tan,5,4,Diesel,10.5L/100km,7.3L/100km,18990
2007,Mercedes-Benz,CLK-Class,119800 km,Convertible,5.5,Automatic,RWD,Silver,Black,5,2,Gas,14.5L/100km,9.2L/100km,19888
2015,Mercedes-Benz,C-Class,169755 km,Sedan,4 Cylinder Engine,Automatic,AWD,Silver,White,5,4,Gas,null,null,19985
2015,Mercedes-Benz,CLA-Class,99984 km,Sedan,2.0,Automatic,AWD,Calcite White,Black,5,4,Other,null,null,21888
2014,Mercedes-Benz,ML350BT,187801 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,null,null,5,4,Diesel,10.4L/100km,7.1L/100km,21888
2014,Mercedes-Benz,M-Class,154000 km,SUV,V6 Cylinder Engine,7 Speed Automatic,AWD,Tenorite Grey Metallic,Black,5,4,Diesel,11.8L/100km,8.5L/100km,21950
2017,Mercedes-Benz,CLA,144000 km,Sedan,2.0,Automatic,AWD,Jupiter Red,Black,5,4,Gas,9.6L/100km,6.4L/100km,22480
2023,Mercedes-Benz,EQS,21152 km,SUV,Electric Motor,1 Speed Automatic,AWD,Sodalith Blue Metallic,null,7,4,Electric,null,null,174900
2017,Mercedes-Benz,CLA,135000 km,Sedan,2.0L 4-Cyl Engine,Automatic,AWD,Black,Black,5,4,Gas,9.6L/100km,6.4L/100km,22950
2014,Mercedes-Benz,CLA-Class,138000 km,Sedan,4 Cylinder,Automatic,AWD,Jupiter Red,Black,5,4,Gas,9.0L/100km,6.5L/100km,22995
2017,Mercedes-Benz,GLA,164000 km,SUV,4 Cylinder,Automatic,AWD,Polar Silver Metallic,Black,5,4,Gas,null,null,22995
2016,Mercedes-Benz,CLA-Class,99873 km,Sedan,4 Cylinder Engine,Automatic,AWD,Calcite White,Beige,null,null,Flexible,null,null,23485
